request to route: '/'; took 1ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f833f2c723b3fd6daeca'; took 168ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/62424da2cb76fe1c205880b8/6238f833f2c723b3fd6daeca'; took 156ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bc421ca68ffa977f9f41/6238f833f2c723b3fd6daeca'; took 152ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f822f2c723b3fd6daec6'; took 197ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/624242cc0f78dd7a2ecc89b1/6238f822f2c723b3fd6daec6'; took 144ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 186ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244cfea1ca68ffa977fa0ea/6238f808f2c723b3fd6daec3'; took 142ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244cfea1ca68ffa977fa0ea/6238f808f2c723b3fd6daec3'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241c00f78dd7a2ecc89a5'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/624520b81ca68ffa977fa1be/624241c00f78dd7a2ecc89a5'; took 140ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 504ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 845ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 1146ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 711ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 177ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 159ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241ab0f78dd7a2ecc89a1'; took 139ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241ab0f78dd7a2ecc89a1'; took 144ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 137ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 150ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 171ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f833f2c723b3fd6daeca'; took 144ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 147ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f822f2c723b3fd6daec6'; took 140ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f822f2c723b3fd6daec6'; took 134ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f833f2c723b3fd6daeca'; took 142ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f833f2c723b3fd6daeca'; took 149ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 165ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 147ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 180ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 155ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 195ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 147ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 134ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bdc71ca68ffa977f9f5f/624241930f78dd7a2ecc899d'; took 191ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241ab0f78dd7a2ecc89a1'; took 156ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241ab0f78dd7a2ecc89a1'; took 145ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 197ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bdc71ca68ffa977f9f5f/624241930f78dd7a2ecc899d'; took 474ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 82ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 86ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 226ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 164ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 193ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241930f78dd7a2ecc899d'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 97ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 383ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 189ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 252ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241930f78dd7a2ecc899d'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 86ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 86ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 203ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 155ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bdc71ca68ffa977f9f5f/624241930f78dd7a2ecc899d'; took 144ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 87ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 71ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 219ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 145ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241930f78dd7a2ecc899d'; took 144ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 116ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 78ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 142ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 235ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241930f78dd7a2ecc899d'; took 153ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 70ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 85ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 149ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 214ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 176ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bdc71ca68ffa977f9f5f/624241930f78dd7a2ecc899d'; took 160ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 166ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244bdc71ca68ffa977f9f5f/624241930f78dd7a2ecc899d'; took 141ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 145ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 141ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6244be7c1ca68ffa977f9f6e/624241930f78dd7a2ecc899d'; took 143ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241a10f78dd7a2ecc899f'; took 319ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/6242481fcb76fe1c20588072/624241a10f78dd7a2ecc899f'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 262ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 269ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 220ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 223ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 102ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 80ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 170ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 208ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 79ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 119ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 164ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 219ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 103ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 112ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 304ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 146ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/624241930f78dd7a2ecc899d'; took 152ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 79ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 87ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 193ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 228ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 70ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 97ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 227ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 167ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 102ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 121ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 269ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 205ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 69ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 81ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 160ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 201ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 72ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 98ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 161ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 237ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 93ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 104ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 225ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 168ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 68ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 93ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 199ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 151ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 70ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 383ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 241ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 326ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 80ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 86ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 212ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 138ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 117ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 113ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 209ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 136ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 103ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 75ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 145ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 199ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 64ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 81ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 222ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 142ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 72ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 88ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 195ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 139ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 119ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 74ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 152ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 203ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 109ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 72ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 310ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 507ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 878ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 881ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 979ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 162ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 116ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 277ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 313ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 429ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 492ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 801ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 147ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 974ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 83ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 82ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 195ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 153ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 103ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 95ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 244ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 148ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 113ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 94ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 164ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 225ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 123ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 79ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 294ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 184ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 918ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 925ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 988ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 169ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 74ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 87ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 284ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 546ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 111ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 120ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 323ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 167ms to complete
request to route: '/pos_system/menu_actions/get_pizza_by_id/62451ca21ca68ffa977fa144/6238f808f2c723b3fd6daec3'; took 211ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 135ms to complete
request to route: '/pos_system/employee_actions/clock_out'; took 109ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 80ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 109ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 127ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 266ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 189ms to complete
request to route: '/pos_system/employee/break_out'; took 1ms to complete
request to route: '/pos_system/lock_screen'; took 2ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 161ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 158ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 242ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 218ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 75ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 69ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 124ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 130ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 200ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 157ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 77ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 433ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 93ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 475ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 616ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 520ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 254ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 74ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 209ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 154ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 112ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 124ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 217ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 283ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 74ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 94ms to complete
request to route: '/pos_system/menu_actions/get_pizzas_by_dough_id/6238f808f2c723b3fd6daec3'; took 219ms to complete
request to route: '/pos_system/menu_actions/get_stuffed'; took 252ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 81ms to complete
request to route: '/pos_system/employee_actions/get_employee'; took 136ms to complete
request to route: '/pos_system/menu_actions/get_sizes'; took 161ms to complete
request to route: '/pos_system/menu_actions/get_toppings'; took 158ms to complete
